活动ID,活动域名,预计上线时间,预计下线时间,片区,运营
641012705,http://ott.act.qq.com,2018/3/5 0:00,2028/12/31 23:59,1,qrangechen
641012660,http://tams.act.qq.com,2018/1/31 0:00,2028/12/31 23:59,1,chloedong
641011956,http://taizilelbs.act.qq.com,2016/5/20 23:59,2026/5/20 23:59,2,viviancai
641011923,http://changyu.act.qq.com,2016/4/18 23:59,2026/4/18 23:59,2,reneeliang
641011152,http://weixinwebauth.act.qq.com,2014/12/23 0:00,2024/12/31 23:59,2,qinyudeng
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,seekyhuang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,marchzhang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,yulinzeng
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,willswhuang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,ziweizhou
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,qinyudeng
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,sisyzhang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,lixu
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,micyjiang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,martycao
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,ivyjiang
641010633,http://huodong.qq.com,2014/4/24 17:00,2022/4/30 23:59,4,sweettang
641012575, https://maifudi.act.qq.com,2017/12/22 23:59,2020/12/31 23:59,2,yanren
640909143,http://www.tencentmind.com,2009/12/8 0:00,2020/9/30 23:59,1,flameliu
641010178,http://fengchi.qq.com,2013/4/7 0:59,2020/4/30 23:59,4,lenwang
641011288,http://tams.qq.com,2015/4/7 23:59,2020/3/31 23:59,1,didizhou
641011288,http://tams.qq.com,2015/4/7 23:59,2020/3/31 23:59,1,kkyang
641011090,http://ttzdj.qq.com,2015/2/4 15:45,2020/2/14 23:59,3,yongwang
641012829,http://nestlecafe.act.qq.com,2018/7/20 0:00,2019/12/31 23:59,3,doradding
641012788,http://clearsports.qq.com,2018/6/18 18:00,2019/12/31 23:59,1,micwang
641012858,http://space7.act.qq.com,2018/8/23 0:00,2019/8/31 23:59,3,valdisjiang
641012821,nestlear.act.qq.com,2018/7/10 0:00,2019/7/31 23:59,3,doradding
641012785,http://philipsod.act.qq.com,2018/6/11 0:00,2019/7/31 23:59,1,haozeng
641012806,http://GLARNG.ACT.QQ.COM,2018/6/14 18:00,2019/7/31 23:59,2,jqchen
641012761,http://mercedesamg.act.qq.com,2018/4/26 14:00,2019/1/31 23:59,2,amyfliu
641012680,http://stride2018.act.qq.com/,2018/1/31 0:00,2019/1/31 23:59,1,eericaqiao
641012879,http://havalf5.act.qq.com,2018/9/28 23:00,2018/12/31 23:59,2,mussetwang
641012784,http://201805ga4.act.qq.com,2018/5/24 18:00,2018/12/31 23:59,3,maxsu
641012718,http://meizuct.act.qq.com,2018/3/6 0:00,2018/12/31 23:59,3,zhoushenliu
641012844,http://2018jncgk.act.qq.com,2018/8/7 16:00,2018/12/31 23:59,3,angiechen
641012511,http://audi.act.qq.com,2017/8/4 0:00,2018/12/31 23:59,2,mussetwang
641012708,http://zhenxiicecream.qq.com,2018/4/13 23:59,2018/12/31 23:59,2,reneeliang
641012671,http://2018cornetto.act.qq.com/,2018/4/3 23:00,2018/12/31 23:59,1,micwang
641012588,http://btruemusic.act.qq.com,2017/12/15 0:00,2018/12/31 23:59,1,yongzhezong
641012880,,2018/9/14 0:00,2018/12/31 23:59,2,mengjin
641012615,http://b-truemusic.act.qq.com,2017/11/15 17:00,2018/12/31 23:59,1,yongzhezong
641012842,http://nutrilitebest2018.act.qq.com,2018/8/14 18:00,2018/12/31 23:59,1,mimili
641012832,http://safedriving.act.qq.com,2018/7/17 0:00,2018/12/31 23:59,2,mussetwang
641012812,http://jjklx.act.qq.com,2018/6/25 23:59,2018/12/31 23:59,1,lakitafu
641012629,http://rc2017.act.qq.com,2017/11/24 0:00,2018/12/31 23:59,2,winniechai
641012684,http://mirinda.act.qq.com,2018/3/27 18:00,2018/12/31 23:59,1,ivyyin
641012672,http://kad.qq.com/,2018/1/12 23:00,2018/12/31 23:59,1,micwang
641012723,http://oppo319r15.act.qq.com,2018/3/16 0:00,2018/12/31 23:59,3,zhoushenliu
641012869,http://biyadi.act.qq.com,2018/9/10 0:00,2018/12/31 23:59,3,evayhli
641012849,http://chinaunicombrandstory.act.qq.com,2018/8/15 0:00,2018/12/31 23:59,2,sitinggong
641012753,http://ecsort.act.qq.com,2018/4/14 23:59,2018/12/31 23:59,1,lakitafu
641012840,http://mghs.act.qq.com,2018/8/16 23:59,2018/12/31 23:59,1,lakitafu
641012815,http://2018gs4.act.qq.com,2018/6/28 12:00,2018/12/31 23:59,3,maxsu
641012796,http://zuo2018wap.qq.com,2018/6/5 23:59,2018/12/31 23:59,2,viviancai
641012731,http://navigateh3c.act.qq.com,2018/3/29 23:59,2018/12/31 23:59,2,yifanli
641012737,http://shell.qq.com,2018/4/20 0:00,2018/12/31 0:00,2,vickyshu
641012790,http://shellhelix.act.qq.com,2018/5/31 12:00,2018/12/31 0:00,2,vickyshu
641012638,http://qiaolezi.3g.qq.com,2018/3/9 0:00,2018/12/31 0:00,2,dennispang
641012340,http://zhenxiicecream.qq.com,2017/2/21 23:59,2018/12/31 0:00,2,viviancai
641012877,http://haval-f5.act.qq.com,2018/9/19 0:00,2018/12/30 23:59,2,mussetwang
641012800,http://2018qx50.act.qq.com,2018/6/8 18:00,2018/12/30 23:59,2,maxsu
641012765,http://2018borgward.act.qq.com,2018/5/6 18:00,2018/12/30 23:59,2,maxsu
641012878,http://zhixing-senova.act.qq.com,2018/9/21 23:00,2018/12/30 23:59,2,mussetwang
641011715,http://test.act.qq.com,2015/11/27 0:00,2018/12/1 23:59,3,hookeye
641011715,http://test.act.qq.com,2015/11/27 0:00,2018/12/1 23:59,3,lynkli
641011715,http://test.act.qq.com,2015/11/27 0:00,2018/12/1 23:59,3,jakerwang
641012873,http://www.skittles2018.act.qq.com,2018/10/24 0:00,2018/11/30 23:59,3,eddyjli
641012883,http://izoa.act.qq.com,2018/9/21 0:00,2018/11/30 23:59,2,mollyliu
641012876,http://corolla.act.qq.com,2018/9/17 0:00,2018/11/30 23:59,2,mollyliu
641012864,http://mbexchange.act.qq.com,2018/9/5 18:00,2018/11/30 23:59,2,jqchen
641012872,http://www.skittles2018.act.qq.com,2018/10/24 0:00,2018/11/30 23:59,3,eddyjli
641012884,http://crown.act.qq.com,2018/9/20 0:00,2018/11/30 23:59,2,mollyliu
641012861,http://lamando.act.qq.com,2018/9/10 0:00,2018/11/16 23:59,1,daisyshen
641012875,http://dovethematic.act.qq.com,2018/9/17 0:00,2018/10/31 23:59,2,feihonglv
641012797,http://mkx.act.qq.com,2018/6/8 23:59,2018/10/31 23:59,1,lakitafu
641012778,http://lincolnxa.act.qq.com,2018/5/31 23:00,2018/10/31 23:59,1,lakitafu
641012862,http://venucia.act.qq.com,2018/9/4 0:00,2018/10/31 23:59,3,evayhli
641012867,http://adidas.act.qq.com,2018/9/27 0:00,2018/10/31 23:59,1,jasonlhchen
